STIG ID , Command Type , Command,Comment
V-253443 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters"" /v RequireStrongKey",This command checks if the system is configured to require a strong session key.
V-253442 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters"" /v MaximumPasswordAge",This command checks the maximum age for machine account passwords.
V-253445 , CMD ," reg query ""HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System"" /v LegalNoticeText",This command checks if the required legal notice is configured.
V-253444 , CMD ," reg query ""HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System"" /v InactivityTimeoutSecs",This command checks the machine inactivity limit configuration.
V-253447 , CMD ," reg query ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon"" /v CachedLogonsCount",This command checks the configuration for caching of logon credentials.
V-253446 , CMD ," reg query ""HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System"" /v LegalNoticeCaption",This command checks the Windows message title for the legal notice.
V-253308 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Account Management - Security Group Management successes.
V-253309 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Account Management - User Account Management failures.
V-253302 , CMD , net accounts /minpwage,This command checks the minimum password age configuration.
V-253303 , CMD , net accounts /minpwlen,This command checks the minimum password length configuration.
V-253300 , CMD , net accounts /uniquepw,This command checks the password history configuration.
V-253301 , CMD , net accounts /maxpwage,This command checks the maximum password age configuration.
V-253306 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Account Logon - Credential Validation failures.
V-253307 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Account Logon - Credential Validation successes.
V-253304 , CMD , net accounts /complexity,This command checks if password complexity is enabled.
V-253305 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Control\Lsa"" /v NoLMHash",This command checks if reversible password encryption is disabled.
V-253415 , CMD ," reg query ""HKLM\SOFTWARE\Policies\Microsoft\Windows\PowerShell\Transcription"" /v EnableTranscripting",This command checks if PowerShell Transcription is enabled.
V-253429 , PowerShell , Get-ChildItem -Path Cert:Localmachine\disallowed ,This command checks for the presence of DoD Interoperability Root CA cross-certificates in the Untrusted Certificates Store.
V-253328 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Privilege Use - Sensitive Privilege Use failures.
V-253329 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Privilege Use - Sensitive Privilege Use successes.
V-253492 , PowerShell ," Get-LocalGroupMember -Group ""Administrators"" ",This command checks if Domain Admins or Enterprise Admins are members of the local Administrators group.
V-253438 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters"" /v RequireSignOrSeal",This command checks if outgoing secure channel traffic is encrypted or signed.
V-253439 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters"" /v SealSecureChannel",This command checks if outgoing secure channel traffic is encrypted.
V-253493 , PowerShell ," Get-LocalGroupMember -Group ""Administrators"" ",This command checks if Domain Admins or Enterprise Admins are members of the local Administrators group.
V-253434 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Control\Lsa"" /v LimitBlankPasswordUse",This command checks if local accounts with blank passwords are restricted from network access.
V-253435 , CMD , net user Administrator,This command checks if the built-in administrator account is renamed.
V-253436 , CMD , net user Guest,This command checks if the built-in guest account is renamed.
V-253437 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Control\Lsa"" /v SCENoApplyLegacyAuditPolicy",This command checks if audit policy using subcategories is enabled.
V-253430 , PowerShell , Get-ChildItem -Path Cert:Localmachine\disallowed ,This command checks for the presence of US DoD CCEB Interoperability Root CA cross-certificates in the Untrusted Certificates Store.
V-253431 , PowerShell ," Get-Acl HKLM:\SECURITY, HKLM:\SOFTWARE, HKLM:\SYSTEM ",This command checks the permissions for the HKEY_LOCAL_MACHINE registry hive.
V-253432 , CMD , net user Administrator ,This command checks if the built-in administrator account is disabled.
V-253433 , CMD , net user Guest ,This command checks if the built-in guest account is disabled.
V-253498 , PowerShell ," Get-LocalGroupMember -Group ""Administrators"" ","This command checks if any accounts other than Administrators and service accounts have the ""Impersonate a client after authentication"" user right."
V-253499 , PowerShell ," Get-LocalGroupMember -Group ""Administrators""","This command checks if only the Administrators group has the ""Load and unload device drivers"" user right."
V-253319 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Object Access - File Share failures.
V-253318 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Logon/Logoff - Special Logon successes.
V-253258 , PowerShell , Get-MpComputerStatus,"This command checks the status of Windows Defender, which is typically used for ESS."
V-253315 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Logon/Logoff - Logoff successes.
V-253314 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Logon/Logoff - Group Membership successes.
V-253317 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Logon/Logoff - Logon successes.
V-253491 , PowerShell ," Get-LocalGroupMember -Group ""Administrators"" ","This command checks if Domain Admins, Enterprise Admins, or local accounts are members of the local Administrators group."
V-253311 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Detailed Tracking - PNP Activity successes.
V-253310 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Account Management - User Account Management successes.
V-253313 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Logon/Logoff - Account Lockout failures.
V-253312 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Detailed Tracking - Process Creation successes.
V-253494 , PowerShell ," Get-LocalGroupMember -Group ""Administrators"" ",This command checks if Domain Admins or Enterprise Admins are members of the local Administrators group.
V-253495 , PowerShell ," Get-LocalGroupMember -Group ""Administrators"" ","This command checks if Domain Admins, Enterprise Admins, or local accounts are members of the local Administrators group."
V-253298 , CMD , net accounts /lockoutthreshold,This command checks the account lock
